job id,company id,Job Salary,Job Experience,Key Skills,Role Category,Functional Area,Industry,Job Title
10049,10015, Not Disclosed by Recruiter ,1 - 5 yrs, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10050,10025, Not Disclosed by Recruiter ,0 - 2 yrs, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10051,10001, Not Disclosed by Recruiter ,2 - 5 yrs, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10052,10047, Not Disclosed by Recruiter ,3 - 6 yrs, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10053,10039, Not Disclosed by Recruiter ,1 - 6 yrs, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10054,10042, Not Disclosed by Recruiter ,4 - 8 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
10055,10001, Not Disclosed by Recruiter ,1 - 3 yrs, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
10056,10038, Not Disclosed by Recruiter ,2 - 7 yrs, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales
10057,10032, Not Disclosed by Recruiter ,3 - 5 yrs,photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
10058,10013, Not Disclosed by Recruiter ,4 - 5 yrs,server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer
10059,10004, Not Disclosed by Recruiter ,4 - 6 yrs, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
10060,10009, Not Disclosed by Recruiter ,3 - 5 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive
10061,10017, Not Disclosed by Recruiter ,4 - 9 yrs, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
10062,10017, Not Disclosed by Recruiter ,2 - 4 yrs, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10063,10033, Not Disclosed by Recruiter ,1 - 2 yrs, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10064,10035,"12,00,000 - 20,00,000 PA.",6 - 11 yrs, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
10065,10013, Not Disclosed by Recruiter ,0 - 1 yrs, Customer Support Executive| Customer service| Business Executive| process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10066,10043, Not Disclosed by Recruiter ,1 - 6 yrs, process| Spot| Technical support| Night shift| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10067,10013, Not Disclosed by Recruiter ,2 - 7 yrs,java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead
10068,10021, Not Disclosed by Recruiter ,0 - 4 yrs, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
10069,10029, Not Disclosed by Recruiter ,2 - 5 yrs, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
10070,10004, Not Disclosed by Recruiter ,10 - 16 yrs, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
10071,10007, Best in Industry Standards ,5 - 7 yrs,HTML5| ASP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10072,10047, Not Disclosed by Recruiter ,2 - 6 yrs, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10073,10003, Not Disclosed by Recruiter ,2 - 5 yrs, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration
10074,10002,"4,00,000 - 9,00,000 PA.",7 - 12 yrs, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
10075,10040, Not Disclosed by Recruiter ,2 - 7 yrs, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager
10076,10020,"3,00,000 - 7,00,000 PA.",2 - 5 yrs, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10077,10002, Not Disclosed by Recruiter ,7 - 12 yrs, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Management,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software
10078,10018, Not Disclosed by Recruiter ,4 - 6 yrs, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst
10079,10007, Not Disclosed by Recruiter ,8 - 12 yrs, salesforce| salesforce.com| system design| application architecture,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
10080,10021, Not Disclosed by Recruiter ,1 - 3 yrs, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10081,10019, Not Disclosed by Recruiter ,5 - 10 yrs, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10082,10037, Not Disclosed by Recruiter ,0 - 1 yrs, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10083,10015, Not Disclosed by Recruiter ,2 - 7 yrs, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10084,10044, Not Disclosed by Recruiter ,2 - 7 yrs, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10085,10015, Not Disclosed by Recruiter ,0 - 5 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10086,10050, Not Disclosed by Recruiter ,0 - 2 yrs, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10087,10006, Not Disclosed by Recruiter ,5 - 10 yrs, Corporate Training| corporate trainer| technical trainer,Teachers,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer
10088,10031,"3,50,000 - 6,00,000 PA.",3 - 5 yrs, java| mongodb| Hibernate| spring| jms,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10089,10026,"11,00,000 - 19,00,000 PA.",5 - 10 yrs,software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10090,10032, Not Disclosed by Recruiter ,0 - 1 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10091,10048, Not Disclosed by Recruiter ,5 - 7 yrs, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
10092,10041, Not Disclosed by Recruiter ,1 - 3 yrs, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser
10093,10016, Not Disclosed by Recruiter ,3 - 8 yrs, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
10094,10041, Not Disclosed by Recruiter ,5 - 7 yrs,MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10095,10005, Not Disclosed by Recruiter ,2 - 7 yrs,soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10096,10034, Not Disclosed by Recruiter ,1 - 6 yrs, Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10097,10003, Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10098,10004, Not Disclosed by Recruiter ,10 - 20 yrs, single sign - on| single sign on| IT Infrastructure| SSO,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect
10099,10048, Not Disclosed by Recruiter ,2 - 5 yrs, Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10100,10012, Not Disclosed by Recruiter ,3 - 5 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10101,10030, Not Disclosed by Recruiter ,3 - 5 yrs, CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
10102,10031, Not Disclosed by Recruiter ,3 - 5 yrs, Asp.Net MVC| entity framework| API,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10103,10039, Not Disclosed by Recruiter ,4 - 6 yrs, Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10104,10020, Not Disclosed by Recruiter ,5 - 8 yrs, python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10105,10008, Not Disclosed by Recruiter ,3 - 6 yrs, QA| Functional testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
10106,10031, Not Disclosed by Recruiter ,3 - 7 yrs, Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
10107,10021, Not Disclosed by Recruiter ,3 - 5 yrs, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10108,10027, Not Disclosed by Recruiter ,2 - 6 yrs, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10109,10021, Not Disclosed by Recruiter ,1 - 5 yrs, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10110,10027, Not Disclosed by Recruiter ,1 - 5 yrs, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10111,10014,"1,25,000 - 5,00,000 PA.",1 - 3 yrs, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10112,10019, Not Disclosed by Recruiter ,3 - 8 yrs, GIT| Linux| Machine Learning| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10113,10042, Not Disclosed by Recruiter ,2 - 7 yrs, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive
10114,10008,"10,00,000 - 13,00,000 PA.",4 - 7 yrs, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10115,10039, Not Disclosed by Recruiter ,3 - 8 yrs, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10116,10016, Not Disclosed by Recruiter ,0 - 1 yrs, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
